"Name","epoch/val_accuracy","epoch/val_loss","Runtime","Notes","State","Tags","batch_size","epochs","hidden_nodes","img_size","learning_rate","batch/accuracy","batch/batch_step","batch/loss","epoch/accuracy","epoch/epoch","epoch/loss"
"glad-sweep-9","0.5135135054588318","1.267119288444519","1367","-","finished","","8","10","128","16","0.001","0.6453770995140076","4145","0.916162133216858","0.6445454359054565","9","0.9167819023132324"
"polished-sweep-30","0.5081080794334412","1.2024524211883545","1197","-","finished","","16","10","64","16","0.0001","0.6034587621688843","2095","1.0055335760116575","0.6033333539962769","9","1.0053564310073853"
"solar-sweep-25","0.5054054260253906","1.2474746704101562","1417","-","finished","","16","10","128","16","0.001","0.643203854560852","2095","0.9250341057777404","0.6436363458633423","9","0.9246159791946412"
"cool-sweep-26","0.5027027130126953","1.255651831626892","1665","-","finished","","16","10","128","16","0.0001","0.6556432247161865","2095","0.9196093678474426","0.6557575464248657","9","0.9193927645683287"
"fearless-sweep-13","0.4972972869873047","1.2575982809066772","1398","-","finished","","8","10","64","16","0.001","0.6277372241020203","4145","0.9386852383613586","0.6269696950912476","9","0.939292013645172"
"scarlet-sweep-22","0.49459460377693176","1.1805528402328491","684","-","finished","","16","5","64","16","0.0001","0.5179004669189453","1045","1.1527482271194458","0.517575740814209","4","1.152910828590393"
"devout-sweep-5","0.4918918907642365","1.1824864149093628","683","-","finished","","8","5","64","16","0.001","0.5258516073226929","2070","1.1144272089004517","0.5251514911651611","4","1.115222454071045"
"glowing-sweep-14","0.4864864945411682","1.2669906616210938","1364","-","finished","","8","10","64","16","0.0001","0.6341241002082825","4145","0.9292056560516356","0.6339393854141235","9","0.9297478795051576"
"northern-sweep-21","0.4864864945411682","1.190557599067688","682","-","finished","","16","5","64","16","0.001","0.5233616232872009","1045","1.1483705043792725","0.5233333110809326","4","1.1484612226486206"
"elated-sweep-29","0.4837837815284729","1.2324963808059692","1302","-","finished","","16","10","64","16","0.001","0.6125606894493103","2095","0.992055356502533","0.6124242544174194","9","0.9917654395103456"
"devoted-sweep-2","0.47567567229270935","1.211689829826355","650","-","finished","","8","5","128","16","0.0001","0.5404500961303711","2070","1.1021831035614014","0.5400000214576721","4","1.1029874086380005"
"earthy-sweep-10","0.4675675630569458","1.2998086214065552","1293","-","finished","","8","10","128","16","0.0001","0.6459854245185852","4145","0.9046265482902528","0.6457575559616089","9","0.9050500392913818"
"robust-sweep-17","0.4675675630569458","1.2222497463226318","821","-","finished","","16","5","128","16","0.001","0.5391383767127991","1045","1.1148735284805298","0.5387879014015198","4","1.1149762868881226"
"lucky-sweep-6","0.4675675630569458","1.2279614210128784","722","-","finished","","8","5","64","16","0.0001","0.514902651309967","2070","1.1391198635101318","0.51424241065979","4","1.1404727697372437"
"devout-sweep-1","0.4648648500442505","1.2609082460403442","923","-","finished","","8","5","128","16","0.001","0.5407542586326599","2070","1.100902438163757","0.5403030514717102","4","1.1018483638763428"
"sunny-sweep-18","0.4621621668338776","1.2270731925964355","750","-","finished","","16","5","128","16","0.0001","0.5391383767127991","1045","1.122079849243164","0.5387879014015198","4","1.122184991836548"
"treasured-sweep-32","0.33243241906166077","1.551890254020691","1499","-","finished","","16","10","64","224","0.0001","0.3194781541824341","2095","1.4767156839370728","0.3199999928474426","9","1.4764176607131958"
"chocolate-sweep-3","0.3216216266155243","1.504565954208374","991","-","finished","","8","5","128","224","0.001","0.3001824915409088","2070","1.5287706851959229","0.30030304193496704","4","1.5287970304489136"
"twilight-sweep-11","0.318918913602829","1.5004512071609497","2133","-","finished","","8","10","128","224","0.001","0.329075425863266","4145","1.4716354608535769","0.3290909230709076","9","1.4716582298278809"
"jolly-sweep-20","0.2918919026851654","1.5671802759170532","877","-","finished","","16","5","128","224","0.0001","0.4793689250946045","1045","1.7212419509887695","0.47939392924308777","4","1.7207024097442627"
"earnest-sweep-24","0.23783783614635468","1.58099102973938","924","-","finished","","16","5","64","224","0.0001","0.29429611563682556","1045","1.5722450017929075","0.294545441865921","4","1.5722676515579224"
"fluent-sweep-7","0.23513513803482056","1.6097902059555054","863","-","finished","","8","5","64","224","0.001","0.24543794989585876","2070","1.599424958229065","0.2457575798034668","4","1.5994417667388916"
"light-sweep-16","0.23513513803482056","1.6105902194976809","1907","-","finished","","8","10","64","224","0.0001","0.24543794989585876","4145","1.5993499755859375","0.2457575798034668","9","1.599368453025818"
"fallen-sweep-28","0.23513513803482056","1.6106319427490234","1541","-","crashed","","16","10","128","224","0.0001","0.24070248007774353","1800","1.599541187286377","0.2457575798034668","7","1.5991748571395874"
"drawn-sweep-23","0.23513513803482056","1.6047569513320925","803","-","finished","","16","5","64","224","0.001","0.2597087323665619","1045","1.5906858444213867","0.25999999046325684","4","1.590695023536682"
"rare-sweep-8","0.23513513803482056","1.6100506782531738","858","-","finished","","8","5","64","224","0.0001","0.24543794989585876","2070","1.5994200706481934","0.2457575798034668","4","1.59943687915802"
"astral-sweep-15","0.23513513803482056","1.6090363264083862","1946","-","finished","","8","10","64","224","0.001","0.2554744482040405","4145","1.5874838829040527","0.25575757026672363","9","1.5875338315963743"
"volcanic-sweep-27","0.23243242502212524","1.6145660877227783","1726","-","finished","","16","10","128","224","0.001","0.27791261672973633","2095","1.5653607845306396","0.2781818211078644","9","1.5653976202011108"
"winter-sweep-12","0.23243242502212524","1.6116660833358765","2125","-","finished","","8","10","128","224","0.0001","0.24543794989585876","4145","1.5993543863296509","0.2457575798034668","9","1.5993733406066897"
"lucky-sweep-4","0.23243242502212524","1.6089227199554443","1001","-","finished","","8","5","128","224","0.0001","0.24543794989585876","2070","1.5993815660476685","0.2457575798034668","4","1.59939706325531"
"fast-sweep-31","0.23243242502212524","1.6121950149536133","1538","-","finished","","16","10","64","224","0.001","0.2554611563682556","2095","1.5825543403625488","0.25575757026672363","9","1.5825551748275757"
"glorious-sweep-19","0.2216216176748276","1.5958579778671265","907","-","finished","","16","5","128","224","0.001","0.23877426981925964","1045","1.5887651443481443","0.2384848445653915","4","1.58878493309021"
